time, energy_waste, temperature, shower_time, window_alert, is_shower, is_present
2024-11-09 23:25:04.864872,0,2, 4,0,False,False
2024-11-09 23:45:09.088443,0,2, 4,0,False,False
2024-11-10 00:05:13.350031,0,2, 0,0,False,False
2024-11-10 00:25:17.063694,0,2, 0,0,False,False
2024-11-10 00:45:19.113096,0,2, 0,0,False,False
2024-11-10 01:05:22.988354,0,2, 0,0,False,False
2024-11-10 01:25:26.454732,0,2, 0,0,False,False
2024-11-10 01:45:30.496269,0,2, 0,0,False,False
2024-11-10 02:05:34.349166,0,2, 0,0,False,False
2024-11-10 02:25:38.234836,0,2, 0,0,False,False
2024-11-10 02:45:42.215085,0,2, 0,0,False,False
2024-11-10 03:05:46.201037,0,2, 0,0,False,False
2024-11-10 03:25:49.608387,0,2, 0,0,False,False
2024-11-10 03:45:53.312206,0,2, 0,0,False,False
2024-11-10 04:05:56.621881,0,2, 0,0,False,False
2024-11-10 04:25:59.879687,0,2, 0,0,False,False
2024-11-10 04:46:03.336804,0,2, 0,0,False,False
2024-11-10 05:06:06.516521,0,2, 0,0,False,False
2024-11-10 05:26:10.007181,0,2, 0,0,False,False
2024-11-10 05:46:13.569871,0,2, 0,0,False,False
2024-11-10 06:06:15.228104,0,2, 0,0,False,False
2024-11-10 06:26:21.742868,0,2, 0,0,False,False
2024-11-10 06:46:23.199734,0,2, 0,0,False,False
2024-11-10 07:06:24.614367,0,2, 0,0,False,False
2024-11-10 07:26:26.034926,0,2, 0,0,False,True
2024-11-10 07:46:27.528374,0,2, 0,0,False,False
2024-11-10 08:06:30.560154,0,2, 0,0,False,True
2024-11-10 08:26:32.597882,0,2, 0,0,False,True
2024-11-10 08:46:35.346731,0,2, 0,0,False,False
2024-11-10 09:06:39.230665,0,2, 0,0,False,False
2024-11-10 09:26:42.910418,0,2, 0,0,False,False
2024-11-10 09:46:46.520572,0,2, 0,0,False,False
2024-11-10 10:06:48.493264,0,2, 0,0,False,False
2024-11-10 10:26:52.582438,0,2, 0,0,False,True
2024-11-10 10:46:55.988876,0,2, 0,0,False,False
2024-11-10 11:07:00.328552,0,2, 0,0,False,False
2024-11-10 11:27:03.939901,0,2, 0,0,False,False
2024-11-10 11:47:07.627040,0,2, 0,0,False,False
2024-11-10 12:10:47.025180,0,2, 0,0,False,False
2024-11-10 12:11:49.285486,0,2, 0,0,False,False
2024-11-10 12:12:52.231029,0,2, 0,0,False,False
2024-11-10 12:13:54.034372,0,2, 0,0,False,False
2024-11-10 12:14:55.914533,0,2, 0,0,False,False
2024-11-10 12:15:59.215697,0,2, 0,0,False,False
2024-11-10 12:17:01.119808,0,2, 0,0,False,False
2024-11-10 12:18:02.981851,0,2, 0,0,False,False
2024-11-10 12:19:04.959914,0,2, 0,0,False,False
2024-11-10 12:20:07.594104,0,2, 0,0,False,False
2024-11-12 21:36:47.422162,0,0, 4,0,False,False
2024-11-12 21:37:49.335040,0,0, 4,0,False,False
