,people_count,largeroom_temp,smallroom_temp,bathroom_temp,largeroom_hum,smallroom_hum,bathroom_hum,largeroom_presence,smallroom_presence,bathroom_presence
97,0.0,24.270480769230776,24.270480769230776,24.270480769230776,72.56730769230771,72.56730769230771,72.56730769230771,0.031260236705271775,0.06478117528832576,0.08023138264770066
98,4.0,24.46604166666667,23.513020833333336,22.56,61.03119791666665,58.260598958333325,55.49,0.019220778444398696,0.07445520730359025,0.05159453987279
99,4.0,21.84743421052632,21.84743421052632,21.84743421052632,55.330328947368436,55.330328947368436,55.330328947368436,0.0364600946526723,0.03802567602986909,0.06118392260441974
100,4.0,22.206363636363626,22.206363636363626,22.206363636363626,55.51945454545456,55.51945454545456,55.51945454545456,0.028442797557571554,0.030036174466949485,0.05147321289954947
101,4.0,22.49744525547446,22.49744525547446,22.49744525547446,63.228759124087595,63.228759124087595,63.228759124087595,0.02994481255962859,0.05062971738344477,0.051318737700299606
102,4.0,22.372127659574474,22.372127659574474,22.372127659574474,55.44042553191489,55.44042553191489,55.44042553191489,0.03143896617836534,0.03841447093023184,0.03972953803623828
103,4.0,23.06645161290323,23.06645161290323,23.06645161290323,49.582096774193566,49.582096774193566,49.582096774193566,0.03791163706927753,0.04489870857035648,0.06046764093483191
104,4.0,24.369747899159655,24.369747899159655,24.369747899159655,52.3910084033613,52.3910084033613,52.3910084033613,0.03170470664161118,0.031243845959078784,0.058816794408776796
105,4.0,26.46563909774436,26.46563909774436,26.46563909774436,64.36939849624063,64.36939849624063,64.36939849624063,0.02409866424755382,0.03978799583364748,0.04463170562047231
106,4.0,26.892695652173895,26.892695652173895,26.892695652173895,64.2042608695652,64.2042608695652,64.2042608695652,0.011576332985925088,0.04168126042585,0.040201557996935984
107,4.0,27.3581884057971,24.959094202898548,22.56,52.74876811594203,54.11938405797102,55.49,0.011064375347930413,0.019711029297465685,0.03305306577981303
108,4.0,28.490090909090906,28.490090909090906,28.490090909090906,55.889454545454576,55.889454545454576,55.889454545454576,0.006922644950034905,0.024393764256411425,0.03737335041818147
109,4.0,28.669395973154366,28.226168574812476,27.78294117647059,54.27523489932888,54.1679115673115,54.06058823529412,0.005036419911470156,0.034154420236290284,0.03665182812583781
110,4.0,27.811805555555537,28.071951728826726,28.332097902097917,61.249097222222176,62.42332483488731,63.59755244755244,0.013108426792626597,0.05596826361737422,0.05262233875385513
111,0.0,26.126788990825684,26.704269495412845,27.281750000000006,66.37009174311927,65.11017087155963,63.85025,0.00016570405901929973,0.00047923034868631683,0.00043110102735865243
112,0.0,25.442430555555532,26.08878990464344,26.735149253731354,67.64819444444447,65.9896942371476,64.33119402985075,0.000557947129108507,0.005014401669282736,0.008285569227089742
113,0.0,23.874680851063836,24.540077267637166,25.205473684210496,58.6695744680851,56.393366181411,54.117157894736884,0.0001651829515184191,0.000466225217597481,0.0
114,0.0,23.079263803681,23.662283835542148,24.245303867403297,60.22668711656446,58.58839880690099,56.95011049723752,0.0,0.0,0.0
115,0.0,21.989368421052614,22.5501780376868,23.110987654320983,59.393263157894765,57.17632293697207,54.95938271604938,0.0,0.0,8.1738012443885e-05
116,4.0,23.5223,23.848269205298017,24.17423841059603,59.91569999999997,62.325631456953616,64.73556291390726,0.025045970349850205,0.06219654230003526,0.0253316322126931
117,4.0,25.453594771241814,25.453594771241814,25.453594771241814,73.1237908496732,73.1237908496732,73.1237908496732,0.013910514884168312,0.05802889965434412,0.04186013403010326
118,4.0,22.92,24.86482926829268,26.809658536585356,64.13,67.22012195121951,70.31024390243901,0.03175732644316726,0.04549453782788152,0.04309068220851664
119,0.0,22.92,24.274579646017695,25.62915929203539,64.13,63.94836283185837,63.76672566371674,0.00044166883403594636,0.006870269147268309,0.004404620824141563
120,0.0,22.570320512820523,23.37389402264403,24.17746753246754,69.6634615384616,67.64968531468534,65.63590909090907,0.0,8.121221274518241e-05,0.0
121,0.0,23.145277777777764,23.727709311424086,24.31014084507041,74.51875000000001,72.95867077464789,71.39859154929577,0.0,0.0,0.0
122,0.0,21.124158415841578,21.7758411126827,22.427523809523823,70.5062376237624,68.20873785950026,65.91123809523812,0.0,0.0,0.0
123,0.0,19.679075630252093,20.377152494025125,21.075229357798154,64.20705882352944,61.79830005396654,59.389541284403656,0.0,0.0,0.0
124,0.0,18.493555555555545,18.97888621151271,19.46421686746987,64.31577777777778,62.72198527443105,61.12819277108432,0.0,0.0,0.0
125,0.0,18.749230769230753,19.144251748251733,19.539272727272717,65.38439560439562,63.86865234765237,62.352909090909115,0.0,8.150694408364606e-05,0.0
126,0.0,18.627040816326527,19.04269396188227,19.45834710743802,63.8058163265306,62.195180890538026,60.584545454545456,0.0,0.0,0.0
127,0.0,17.485362318840583,17.859541624536572,18.23372093023256,62.279855072463775,60.86213683855746,59.44441860465115,0.0,0.0,0.0
128,0.0,18.248163265306122,18.512920016491446,18.77767676767677,64.54744897959183,63.5426638837353,62.53787878787876,0.0,0.0005741170549993678,0.0
129,0.0,18.94180952380952,19.098783549783548,19.255757575757574,66.4370476190476,65.66943290043288,64.90181818181816,0.0,0.0,0.0
130,0.0,19.981976744186046,19.88617824551074,19.79037974683544,69.95209302325586,70.55940094200767,71.16670886075947,0.0,0.0,0.0
131,0.0,20.24879120879121,20.36621913380737,20.483647058823532,65.97219780219784,65.55121654815773,65.13023529411763,0.0,0.00045727981066565293,0.0
132,0.0,20.543749999999996,20.525274999999997,20.5068,68.12275,68.06917499999997,68.01559999999996,0.0,8.617211447284742e-05,0.0
133,0.0,21.221666666666653,21.087367424242416,20.953068181818182,66.9102083333333,66.98152462121212,67.05284090909092,0.0,0.0,8.162943050601333e-05
134,0.0,21.3579518072289,21.37988499452354,21.40181818181818,66.51253012048196,66.18262869660464,65.85272727272731,0.0,0.00039638559628474713,0.0
135,0.0,21.55917525773195,21.609908141686496,21.660641025641038,65.32092783505153,64.92591263547448,64.53089743589742,0.0,0.0,0.0
136,0.0,21.89450704225353,21.799161415863615,21.703815789473705,69.48992957746479,70.36269505189028,71.23546052631579,0.0,0.0,0.0
137,0.0,19.942212389380533,20.171827348536418,20.4014423076923,63.293185840707984,62.316112151123235,61.33903846153848,0.0,0.0,0.0
138,0.0,18.008190476190485,18.365913419913422,18.72363636363636,58.04990476190478,56.46530591630591,54.88070707070705,0.0,0.0,0.0
139,0.0,18.357692307692297,18.402984084880632,18.448275862068968,64.31817307692307,63.888914124668446,63.45965517241381,0.0,0.0,0.0
