,is_present,month,largeroom_temp,smallroom_temp,bathroom_temp,largeroom_hum,smallroom_hum,bathroom_hum,largeroom_presence,smallroom_presence,bathroom_presence
0,1.0,4.0,24.13625954198476,26.465049413849517,28.793839285714267,30.69729007633589,27.02145753816793,23.345624999999973,0.0541393487421957,0.0759329075369786,0.0754331039477905
1,1.0,5.0,23.41012500000001,24.413761686991883,25.41739837398375,36.74125,41.03115345528455,45.32105691056911,0.0587622259823509,0.0689288799648246,0.110782111802661
2,1.0,5.0,22.7351595744681,23.903818525972788,25.07247747747748,43.88909574468087,41.893354178646746,39.89761261261263,0.0374939934583761,0.0498321274484511,0.0943054704900908
3,1.0,5.0,22.375888324873102,24.692477495769893,27.00906666666668,31.2489847715736,30.536603496897914,29.824222222222232,0.0424037060812666,0.0651896103306638,0.0841195190562883
4,1.0,5.0,21.643841059602664,22.53885694598632,23.43387283236997,33.327152317880795,37.0385761589404,40.75000000000001,0.0599622727789284,0.0519928594919293,0.0706694965599904
5,0.0,5.0,16.349663865546223,18.07663017838714,19.803596491228063,39.95865546218485,38.29143299425032,36.624210526315785,0.0040219378431725,0.0038105475867251,0.006230642448031
6,0.0,5.0,13.22461538461539,14.565720390720394,15.906825396825395,43.51638461538458,41.55295421245421,39.58952380952384,0.0,0.0,0.0
7,0.0,5.0,11.572477876106202,12.596778153739372,13.621078431372542,43.835132743362834,42.22237029325005,40.60960784313727,0.0004551253468108,0.000440722091594,0.0001443231483257
8,0.0,5.0,11.5062,11.918390697674422,12.330581395348844,45.37820000000001,52.6270069767442,59.87581395348839,0.0009984265209417,0.0005371149204819,0.0035477929901556
9,0.0,5.0,12.23756756756757,12.365054970224458,12.492542372881346,46.87063063063066,57.23535768819669,67.60008474576273,0.0,0.0,0.0
10,0.0,5.0,13.097789473684212,13.15740664160401,13.217023809523807,44.14526315789472,45.14965538847116,46.15404761904761,0.0,8.125588748407282e-05,0.0
11,0.0,5.0,13.99525547445255,13.965342969014344,13.935430463576138,44.585547445255486,45.12101875574034,45.6564900662252,0.0,0.0,0.0
12,0.0,5.0,15.712592592592603,16.53639433551199,17.360196078431375,41.872888888888895,40.96376470588236,40.05464052287581,0.00364070296164,0.0014750911137636,0.0040519611447559
13,1.0,5.0,22.39748743718592,24.298572485716257,26.19965753424659,41.90402010050253,41.994869639292354,42.08571917808218,0.0368105042224115,0.0601744241119957,0.0753566834007193
14,0.0,5.0,19.346526946107787,20.06255795158151,20.77858895705524,45.374071856287465,43.965900958818565,42.55773006134967,0.0041055628091427,0.0055288464525924,0.0080875661526493
15,0.0,5.0,17.045963855421682,17.358071213425127,17.67017857142857,52.09981927710842,52.100237019506594,52.10065476190477,0.0003075994120303,0.0002206079838863,0.0001487362766392
16,0.0,5.0,16.730406504065044,16.91473813575346,17.099069767441872,52.34943089430893,52.52878521459634,52.70813953488376,0.0,0.0,0.0
17,0.0,5.0,15.364330708661416,15.550878589624824,15.737426470588233,53.133937007874,53.38707879805464,53.64022058823528,0.0,0.0,0.0
18,0.0,5.0,14.191249999999998,14.860982142857145,15.530714285714287,53.10812499999999,52.1814732142857,51.25482142857142,0.0,8.331784714144143e-05,0.0002970511013169
19,1.0,5.0,20.51850931677019,22.37055674171844,24.222604166666688,56.70173913043476,54.29177234299517,51.8818055555556,0.0530958309441263,0.0761032417468905,0.0845970399912347
20,1.0,5.0,22.180860215053755,23.057683628653628,23.9345070422535,57.77129032258065,58.79730009086778,59.8233098591549,0.0461755900652531,0.0751113228051024,0.079591114968396
21,0.0,5.0,20.60240963855422,21.356796217126572,22.11118279569893,51.73975903614456,50.75568596968518,49.7716129032258,0.0032105558276977,0.0045746694971321,0.0069044089146308
22,0.0,5.0,19.39240000000001,19.93243655913978,20.47247311827956,52.958499999999965,51.41451881720427,49.87053763440856,0.0,0.0,0.0
23,0.0,5.0,19.57560975609756,19.916554878048775,20.257500000000004,52.3939024390244,51.1508574695122,49.9078125,0.0,0.0,0.0
24,0.0,5.0,18.42283018867924,18.926660995978967,19.43049180327869,56.927735849056624,55.83935972780701,54.75098360655738,0.0,0.0,0.0
25,0.0,5.0,18.35160377358492,18.779230458221036,19.206857142857142,54.45009433962262,53.115047169811305,51.77999999999999,0.0,0.0,0.0
26,0.0,5.0,16.90599999999999,17.342360465116265,17.77872093023254,50.63136842105262,49.55469583843328,48.47802325581394,0.0,0.0,0.0
27,0.0,5.0,16.47790123456788,16.72238811728394,16.966874999999998,51.55234567901234,50.74267283950616,49.93299999999998,0.0,0.0,0.0
28,0.0,5.0,17.06450980392157,17.127137254901967,17.18976470588236,52.85029411764706,52.3455,51.84070588235295,0.0,0.0,0.0
29,0.0,5.0,17.568316831683166,17.620663792185667,17.673010752688164,51.24574257425744,50.97964548067709,50.71354838709675,0.0,0.0,0.0
30,0.0,5.0,17.22897435897436,17.273409593280284,17.317844827586207,49.59692307692312,49.44294429708223,49.28896551724134,0.0,0.0,0.0
31,0.0,6.0,18.444779411764696,20.789574171901755,23.13436893203881,52.12367647058821,47.37302755568248,42.622378640776745,0.0060804597790391,0.0014505783760922,0.0077181320286718
32,1.0,6.0,20.5320325203252,23.347703957323468,26.163375394321736,48.66065040650409,43.66275422533407,38.664858044164056,0.0367620978398197,0.0534432385850223,0.0985271987026249
33,0.0,6.0,17.200769230769236,18.40184803001877,19.602926829268306,46.28935897435894,41.8085209505941,37.32768292682926,0.0001621632254048,0.0001397092488633,8.223312470517111e-05
